align_bits,num_jumps,rc5,rc5_per_iter
13,79,150249,0.150249
13,80,150238,0.150238
13,81,150145,0.150145
13,82,150402,0.150402
13,83,150170,0.15017
13,84,150354,0.150354
13,85,150220,0.15022
13,86,150481,0.150481
13,87,200309,0.200309
13,88,200474,0.200474
13,89,200523,0.200523
13,90,200483,0.200483
13,91,200385,0.200385
13,92,200385,0.200385
13,93,200383,0.200383
13,94,200127,0.200127
13,95,200263,0.200263
13,96,200425,0.200425
13,97,200379,0.200379
13,98,200446,0.200446
13,99,200444,0.200444
13,100,200360,0.20036
13,101,200309,0.200309
14,67,151174,0.151174
14,68,150425,0.150425
14,69,150535,0.150535
14,70,150410,0.15041
14,71,151465,0.151465
14,72,150563,0.150563
14,73,150638,0.150638
14,74,151483,0.151483
14,75,150665,0.150665
14,76,150970,0.15097
14,77,150332,0.150332
14,78,150539,0.150539
14,79,150339,0.150339
14,80,150308,0.150308
14,81,150664,0.150664
14,82,150307,0.150307
14,83,150623,0.150623
14,84,150300,0.1503
14,85,150229,0.150229
14,86,200395,0.200395
14,87,200551,0.200551
14,88,200551,0.200551
14,89,200128,0.200128
14,90,200192,0.200192
14,91,200254,0.200254
14,92,200335,0.200335
14,93,200464,0.200464
14,94,200384,0.200384
14,95,200282,0.200282
14,96,200373,0.200373
14,97,200223,0.200223
14,98,200360,0.20036
14,99,200509,0.200509
14,100,200610,0.20061
14,101,200405,0.200405
15,67,150690,0.15069
15,68,150721,0.150721
15,69,150741,0.150741
15,70,150702,0.150702
15,71,150773,0.150773
15,72,150589,0.150589
15,73,150517,0.150517
15,74,150430,0.15043
15,75,150529,0.150529
15,76,150996,0.150996
15,77,150585,0.150585
15,78,150488,0.150488
15,79,150506,0.150506
15,80,150386,0.150386
15,81,150698,0.150698
15,82,150317,0.150317
15,83,150423,0.150423
15,84,150290,0.15029
15,85,200453,0.200453
15,86,200397,0.200397
15,87,200455,0.200455
15,88,200303,0.200303
15,89,200410,0.20041
15,90,200320,0.20032
15,91,200435,0.200435
15,92,200355,0.200355
15,93,200452,0.200452
15,94,200349,0.200349
15,95,200428,0.200428
15,96,200394,0.200394
15,97,200379,0.200379
15,98,200414,0.200414
15,99,200300,0.2003
15,100,200504,0.200504
15,101,200373,0.200373
16,67,151201,0.151201
16,68,151131,0.151131
16,69,151079,0.151079
16,70,151683,0.151683
16,71,151129,0.151129
16,72,151083,0.151083
16,73,151181,0.151181
16,74,151148,0.151148
16,75,150951,0.150951
16,76,150863,0.150863
16,77,150808,0.150808
16,78,151017,0.151017
16,79,150582,0.150582
16,80,151208,0.151208
16,81,150812,0.150812
16,82,150726,0.150726
16,83,150900,0.1509
16,84,200480,0.20048
16,85,200596,0.200596
16,86,200412,0.200412
16,87,200333,0.200333
16,88,200516,0.200516
16,89,200426,0.200426
16,90,200447,0.200447
16,91,200279,0.200279
16,92,200084,0.200084
16,93,200313,0.200313
16,94,200503,0.200503
16,95,200337,0.200337
16,96,200096,0.200096
16,97,200291,0.200291
16,98,200620,0.20062
16,99,200450,0.20045
16,100,200366,0.200366
16,101,200468,0.200468
17,67,152861,0.152861
17,68,152410,0.15241
17,69,152465,0.152465
17,70,152186,0.152186
17,71,152445,0.152445
17,72,152123,0.152123
17,73,152121,0.152121
17,74,151935,0.151935
17,75,151823,0.151823
17,76,151745,0.151745
17,77,152519,0.152519
17,78,152674,0.152674
17,79,151709,0.151709
17,80,151795,0.151795
17,81,151725,0.151725
17,82,151749,0.151749
17,83,200002,0.200002
17,84,200532,0.200532
17,85,200323,0.200323
17,86,200586,0.200586
17,87,200636,0.200636
17,88,200394,0.200394
17,89,200404,0.200404
17,90,200231,0.200231
17,91,200664,0.200664
