bit,ndummy,ndummy_effective,iters,rc5,miss_per_iter,seconds
9,98,100,2000000,1003403,0.501701500,
9,99,101,2000000,1002965,0.501482500,
9,100,102,2000000,1003465,0.501732500,
10,65,67,2000000,3914,0.001957000,
10,66,68,2000000,3872,0.001936000,
10,67,69,2000000,3946,0.001973000,
10,68,70,2000000,3965,0.001982500,
10,69,71,2000000,4085,0.002042500,
10,70,72,2000000,3658,0.001829000,
10,71,73,2000000,4009,0.002004500,
10,72,74,2000000,3943,0.001971500,
10,73,75,2000000,4031,0.002015500,
10,74,76,2000000,3813,0.001906500,
10,75,77,2000000,3879,0.001939500,
10,76,78,2000000,4178,0.002089000,
10,77,79,2000000,3868,0.001934000,
10,78,80,2000000,3830,0.001915000,
10,79,81,2000000,3936,0.001968000,
10,80,82,2000000,5002,0.002501000,
10,81,83,2000000,4905,0.002452500,
10,82,84,2000000,3856,0.001928000,
10,83,85,2000000,3924,0.001962000,
10,84,86,2000000,4042,0.002021000,
10,85,87,2000000,4035,0.002017500,
10,86,88,2000000,5078,0.002539000,
10,87,89,2000000,3887,0.001943500,
10,88,90,2000000,4101,0.002050500,
10,89,91,2000000,1003443,0.501721500,
10,90,92,2000000,1003650,0.501825000,
10,91,93,2000000,1004497,0.502248500,
10,92,94,2000000,1003886,0.501943000,
10,93,95,2000000,1004452,0.502226000,
10,94,96,2000000,1003491,0.501745500,
10,95,97,2000000,1003492,0.501746000,
10,96,98,2000000,1003079,0.501539500,
10,97,99,2000000,1003343,0.501671500,
10,98,100,2000000,1003309,0.501654500,
10,99,101,2000000,1003401,0.501700500,
10,100,102,2000000,1003224,0.501612000,
11,65,67,2000000,3957,0.001978500,
11,66,68,2000000,3829,0.001914500,
11,67,69,2000000,3807,0.001903500,
11,68,70,2000000,3688,0.001844000,
11,69,71,2000000,4928,0.002464000,
11,70,72,2000000,3941,0.001970500,
11,71,73,2000000,3971,0.001985500,
11,72,74,2000000,3994,0.001997000,
11,73,75,2000000,3897,0.001948500,
11,74,76,2000000,4930,0.002465000,
11,75,77,2000000,3936,0.001968000,
11,76,78,2000000,3842,0.001921000,
11,77,79,2000000,3880,0.001940000,
11,78,80,2000000,3964,0.001982000,
11,79,81,2000000,3944,0.001972000,
11,80,82,2000000,3919,0.001959500,
11,81,83,2000000,3914,0.001957000,
11,82,84,2000000,3881,0.001940500,
11,83,85,2000000,4032,0.002016000,
11,84,86,2000000,3760,0.001880000,
11,85,87,2000000,5194,0.002597000,
11,86,88,2000000,4908,0.002454000,
11,87,89,2000000,4137,0.002068500,
11,88,90,2000000,1004108,0.502054000,
11,89,91,2000000,1003528,0.501764000,
11,90,92,2000000,1003182,0.501591000,
11,91,93,2000000,1003844,0.501922000,
11,92,94,2000000,1003720,0.501860000,
11,93,95,2000000,1004334,0.502167000,
11,94,96,2000000,1003722,0.501861000,
11,95,97,2000000,1003137,0.501568500,
11,96,98,2000000,1003451,0.501725500,
11,97,99,2000000,1003288,0.501644000,
11,98,100,2000000,1003219,0.501609500,
11,99,101,2000000,1003025,0.501512500,
11,100,102,2000000,1003359,0.501679500,
12,65,67,2000000,3913,0.001956500,
12,66,68,2000000,3948,0.001974000,
12,67,69,2000000,4132,0.002066000,
12,68,70,2000000,4055,0.002027500,
12,69,71,2000000,4102,0.002051000,
12,70,72,2000000,3802,0.001901000,
12,71,73,2000000,3981,0.001990500,
12,72,74,2000000,4014,0.002007000,
12,73,75,2000000,4444,0.002222000,
12,74,76,2000000,4117,0.002058500,
12,75,77,2000000,4171,0.002085500,
12,76,78,2000000,3988,0.001994000,
12,77,79,2000000,4045,0.002022500,
12,78,80,2000000,4017,0.002008500,
12,79,81,2000000,4077,0.002038500,
12,80,82,2000000,4010,0.002005000,
12,81,83,2000000,4022,0.002011000,
12,82,84,2000000,4079,0.002039500,
12,83,85,2000000,3932,0.001966000,
12,84,86,2000000,5037,0.002518500,
12,85,87,2000000,4661,0.002330500,
12,86,88,2000000,4086,0.002043000,
12,87,89,2000000,1003498,0.501749000,
12,88,90,2000000,1003379,0.501689500,
12,89,91,2000000,1004261,0.502130500,
12,90,92,2000000,1004555,0.502277500,
12,91,93,2000000,1004019,0.502009500,
12,92,94,2000000,1003759,0.501879500,
12,93,95,2000000,1003687,0.501843500,
12,94,96,2000000,1004241,0.502120500,
12,95,97,2000000,1003344,0.501672000,
12,96,98,2000000,1002543,0.501271500,
12,97,99,2000000,1002939,0.501469500,
12,98,100,2000000,1002845,0.501422500,
12,99,101,2000000,1003142,0.501571000,
12,100,102,2000000,1003192,0.501596000,
13,65,67,2000000,4048,0.002024000,
13,66,68,2000000,3913,0.001956500,
13,67,69,2000000,4056,0.002028000,
13,68,70,2000000,4057,0.002028500,
13,69,71,2000000,3919,0.001959500,
13,70,72,2000000,5018,0.002509000,
13,71,73,2000000,4237,0.002118500,
13,72,74,2000000,4051,0.002025500,
13,73,75,2000000,4032,0.002016000,
13,74,76,2000000,3903,0.001951500,
13,75,77,2000000,4007,0.002003500,
13,76,78,2000000,4089,0.002044500,
13,77,79,2000000,3803,0.001901500,
13,78,80,2000000,4022,0.002011000,
13,79,81,2000000,4073,0.002036500,
13,80,82,2000000,4237,0.002118500,
13,81,83,2000000,5068,0.002534000,
13,82,84,2000000,4015,0.002007500,
13,83,85,2000000,3975,0.001987500,
13,84,86,2000000,3894,0.001947000,
13,85,87,2000000,4119,0.002059500,
13,86,88,2000000,1003282,0.501641000,
13,87,89,2000000,1004113,0.502056500,
13,88,90,2000000,1003853,0.501926500,
13,89,91,2000000,1004216,0.502108000,
13,90,92,2000000,1004466,0.502233000,
13,91,93,2000000,1004313,0.502156500,
13,92,94,2000000,1003570,0.501785000,
13,93,95,2000000,1003172,0.501586000,
13,94,96,2000000,1003698,0.501849000,
13,95,97,2000000,1003378,0.501689000,
13,96,98,2000000,1003297,0.501648500,
13,97,99,2000000,1003314,0.501657000,
13,98,100,2000000,1003450,0.501725000,
13,99,101,2000000,1003588,0.501794000,
13,100,102,2000000,1003386,0.501693000,
