dummy,rc5_total,misses_per_iter
109,5358.000,0.000267900000
110,5408.000,0.000270400000
111,5299.000,0.000264950000
112,5667.000,0.000283350000
113,5609.000,0.000280450000
114,5421.000,0.000271050000
115,5527.000,0.000276350000
116,5340.000,0.000267000000
117,5485.000,0.000274250000
118,5338.000,0.000266900000
119,5511.000,0.000275550000
120,5519.000,0.000275950000
121,5478.000,0.000273900000
122,5316.000,0.000265800000
123,5306.000,0.000265300000
124,5581.000,0.000279050000
125,5451.000,0.000272550000
126,5715.000,0.000285750000
127,5474.000,0.000273700000
128,5513.000,0.000275650000
129,5450.000,0.000272500000
130,5427.000,0.000271350000
131,5572.000,0.000278600000
132,5475.000,0.000273750000
133,5485.000,0.000274250000
134,5290.000,0.000264500000
135,5701.000,0.000285050000
136,5672.000,0.000283600000
137,5420.000,0.000271000000
138,5448.000,0.000272400000
139,5580.000,0.000279000000
140,5629.000,0.000281450000
141,5439.000,0.000271950000
142,5509.000,0.000275450000
143,5607.000,0.000280350000
144,5520.000,0.000276000000
145,5665.000,0.000283250000
146,5582.000,0.000279100000
147,5296.000,0.000264800000
148,5386.000,0.000269300000
149,5626.000,0.000281300000
150,5554.000,0.000277700000
151,5451.000,0.000272550000
152,5344.000,0.000267200000
153,5461.000,0.000273050000
154,5373.000,0.000268650000
155,5519.000,0.000275950000
156,5485.000,0.000274250000
157,5541.000,0.000277050000
158,5190.000,0.000259500000
159,5455.000,0.000272750000
160,5528.000,0.000276400000
161,5689.000,0.000284450000
162,5454.000,0.000272700000
163,5468.000,0.000273400000
164,5477.000,0.000273850000
165,5478.000,0.000273900000
166,5863.000,0.000293150000
167,5459.000,0.000272950000
168,5360.000,0.000268000000
169,5414.000,0.000270700000
170,5491.000,0.000274550000
171,5552.000,0.000277600000
172,5605.000,0.000280250000
173,5309.000,0.000265450000
174,5517.000,0.000275850000
175,5475.000,0.000273750000
176,5151.000,0.000257550000
177,5355.000,0.000267750000
178,5428.000,0.000271400000
179,5403.000,0.000270150000
180,5394.000,0.000269700000
181,5538.000,0.000276900000
182,5414.000,0.000270700000
183,5281.000,0.000264050000
184,5322.000,0.000266100000
185,5254.000,0.000262700000
186,5571.000,0.000278550000
187,5513.000,0.000275650000
188,5650.000,0.000282500000
189,5487.000,0.000274350000
190,5434.000,0.000271700000
191,5755.000,0.000287750000
192,5826.000,0.000291300000
193,5728.000,0.000286400000
194,5737.000,0.000286850000
